AgentID,FirstName,LastName,PhoneNumber,Email
1,Allison,Schneider,-9635,xfriedman@nz
2,Gregory,Reeves,+64-25-247-1640x21636,isaac33@taylor.nz
3,Jennifer,Reeves,+64-29-955-7088x487,cookhannah@allison.nz
4,Sandra,Williams,-2027,sawyercharles@robinson.nz
5,Katherine,Chandler,-3544,fzhang@nz
6,Michael,Andrews,-5540,kingnatalie@nz
7,Stephanie,Carroll,+64-32-285-2596x8633,sampsoncrystal@nz
8,Vincent,Alvarado,+64-43-241-1156x8182,danielwalker@nz
9,Nicholas,Stokes,+64-36-760-8126x41485,austin07@nz
10,Andrew,Arnold,+64-70-341-9478x31329,brittneydunn@nz
11,Katherine,Moss,+64-93-145-6519x5211,rebeccanichols@holt.nz
12,Dominic,Walker,+64-46-147-9461x80784,drivera@mitchell.nz
13,Anthony,Webb,+64-76-333-7378x78329,susan61@hotmail.nz
14,Susan,Johnson,+64-32-562-8408x14329,reynoldsroy@lopez-barron.nz
15,Sean,Jones,+64-47-442-7162x66100,ucollins@hotmail.nz
16,William,Richardson,-10414,hnelson@graves-morales.nz
17,Donna,Decker,-59284,eberry@adams.nz
18,Shane,Smith,+64-97-489-4515x4976,korr@nz
19,Allen,Decker,-6863,eric65@hotmail.nz
20,Joseph,Mitchell,+64-92-634-3375x46460,iyoung@bowers.nz
